HBA Department
25003 Deodorant-Shave-04' L-Released
",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 3' 11.78""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007697021651,,,1,,,NATURALLY FRESH,,,,DEODORANT-MAGNESIUM CHLIDE-FRAG FREE,,,,,,3.00,,,FOZ,,,,,,,1.60,,,,,,
2,0007697017137,,,1,,,NATURALLY FRESH,,,,DEODORANT-MAGNESIUM CHLIDE-OCEAN MST,,,,,,3.00,,,FOZ,,,,,,,1.60,,,,,,
3,0007743533552,,,2,,,ALVERA,,,,DEODORANT-ALMOND ALOE,,,,,,3.00,,,FOZ,,,,,,,1.60,,,,,,
4,0007743533554,,,2,,,ALVERA,,,,DEODORANT-HERBAL ALOE,,,,,,3.00,,,FOZ,,,,,,,1.60,,,,,,
5,0007743533550,,,1,,,ALVERA,,,,DEODORANT-UNSCENTED ALOE,,,,,,3.00,,,FOZ,,,,,,,1.60,,,,,,
6,0076430213039,,,1,,,NUBIAN HERITAGE,,,,DEODORANT-RAW SHEA BUTTER,,,,,,2.25,,,OZ,,,,,,,2.25,,,,,,
7,0076430211143,,,2,,,NUBIAN HERITAGE,,,,DEODORANT-INDIAN HEMP,,,,,,2.25,,,OZ,,,,,,,2.25,,,,,,
8,0076430212232,,,1,,,NUBIAN HERITAGE,,,,DEODORANT-PATCHOULI & BURITI,,,,,,2.25,,,OZ,,,,,,,2.25,,,,,,
9,0076430211108,,,1,,,NUBIAN HERITAGE,,,,DEODORANT-COCONUT PAPAYA,,,,,,2.25,,,OZ,,,,,,,2.25,,,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0076430211913,,,1,,,NUBIAN HERITAGE,,,,DEODORANT-HONEY BLACK SEED,,,,,,2.25,,,OZ,,,,,,,2.25,,,,,,
11,0076430210608,,,1,,,NUBIAN HERITAGE,,,,DEODORANT-AFRICAN BLACK SOAP,,,,,,2.25,,,OZ,,,,,,,2.25,,,,,,
12,0005498600253,,,1,,,EARTH SCIENCE,,,,DEODORANT-HERBAL-TEA TREE,,,,,,2.45,,,OZ,,,,,,,2.30,,,,,,
13,0005498600251,,,1,,,EARTH SCIENCE,,,,DEODORANT-LIKEN HERBAL,,,,,,2.45,,,OZ,,,,,,,2.30,,,,,,
14,0071833422067,,,2,,,DESERT ESSENCE,,,,DEODORANT-STICK-TEA TREE,,,,,,2.50,,,OZ,,,,,,,2.30,,,,,,
15,0071833433231,,,1,,,DESERT ESSENCE,,,,DEODORANT-SPRING FRESH,,,,,,2.50,,,OZ,,,,,,,2.30,,,,,,
16,0071833433232,,,1,,,DESERT ESSENCE,,,,DEODORANT TROPICAL BREEZE,,,,,,2.50,,,OZ,,,,,,,2.30,,,,,,
17,0071833433233,,,1,,,DESERT ESSENCE,,,,DEODORANT-LEMON TEA TREE,,,,,,2.50,,,OZ,,,,,,,2.30,,,,,,
18,0004893901045,,,2,,,HERBAL CLEAR,,,,DEODORANT-BODY STICK-24 HR SPORT,,,,,,1.80,,,OZ,,,,,,,2.25,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 6.00"",   Product: 3' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085913900645,,,1,,,SCHMIDTS,,,,DEODORANT-COCNT PNAPPL-SNSTVE SKIN,,,,,,3.25,,,OZ,,,,,,,2.35,,,,,,
2,0001996277063,,,1,,,SCHMIDTS,,,,DEODORANT-GERANIUM-SENSITIVE,,,,,,3.25,,,OZ,,,,,,,2.35,,,,,,
3,0085913900644,,,1,,,SCHMIDTS,,,,DEODORANT-JASMINE TEA-SNSTIVE SKIN,,,,,,3.25,,,OZ,,,,,,,2.35,,,,,,
4,0085913900622,,,1,,,SCHMIDTS,,,,DEODORANT-LAVENDER TIPS-SNSTIVE SKIN,,,,,,3.25,,,OZ,,,,,,,2.35,,,,,,
5,0001996277073,,,1,,,SCHMIDTS,,,,DEODORANT-TEA TREE-SENSITIVE,,,,,,3.25,,,OZ,,,,,,,2.35,,,,,,
6,0001996277053,,,1,,,SCHMIDTS,,,,DEODORANT-FRAGRANCE FREE-SENSITIVE,,,,,,3.25,,,OZ,,,,,,,2.35,,,,,,
7,0085913900621,,,2,,,SCHMIDTS,,,,DEODORANT-CHARCOAL & MAGNESIUM,,,,,,3.25,,,OZ,,,,,,,2.25,,,,,,
