3,0007663059128,,,,1,,,AMERICAN HEALTH,,,,,,KID STIKS-DRINK MIX-GRAPE-PACKET,,,,,0.32,,,OZ,,,Mar 13 2016 1,,,,0.95,,,,,
4,0007663058890,,,,1,,,AMERICAN HEALTH,,,,,,KID STIKS-DRINK POWDER-TROPICAL-BOX,,,,,9.73,,,OZ,,,Mar 13 2016 1,,,,3.00,,,,,
5,0009746729990,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE-MULTI-VITAMIN-WTRMELON,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.65,,,,,
6,0009746729980,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE-MULTI-VITAMIN-ASSORTED,,,,,90.00,,,VTB,,,Mar 13 2016 1,,,,2.65,,,,,
7,0009746729982,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE-MULTI-VITAMIN-ASSORTED,,,,,180.00,,,TAB,,,Mar 13 2016 1,,,,3.30,,,,,
8,0009746729958,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE-ASSORTED-GUMMIES,,,,,50.00,,,TAB,,,Mar 13 2016 1,,,,2.75,,,,,
9,0065801011440,,,,1,,,GARDEN OF LIFE,,,,,,VITAMIN CODE KIDS,,,,,60.00,,,CHW,,,Mar 13 2016 1,,,,2.70,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0065801012075,,,,1,,,GARDEN OF LIFE,,,,,,MULTIVITAMIN-ORG-KIDS-CHERRY,,,,,120.00,,,CHW,,,,,,,2.88,,,,,
11,0085135600401,,,,2,,,SMARTY PANTS,,,,,,KIDS COMPLETE GUMMY MULTIVITAMIN,,,,,120.00,,,CNT,,,Mar 13 2016 1,,,,3.07,,,,,
12,0085135600407,,,,1,,,SMARTY PANTS,,,,,,KIDS FIBER COMPLETE GUMMIES,,,,,120.00,,,CNT,,,Mar 13 2016 1,,,,3.07,,,,,
13,0002188810542,,,,1,,,RAINBOW LIGHT,,,,,,NUTRISTARS FRUIT BLAST,,,,,60.00,,,TAB,,,Mar 13 2016 1,,,,2.37,,,,,
14,0002188810544,,,,1,,,RAINBOW LIGHT,,,,,,NUTRISTARS FRUIT BLAST,,,,,120.00,,,TAB,,,Mar 13 2016 1,,,,2.79,,,,,
15,0002188810982,,,,1,,,RAINBOW LIGHT,,,,,,KIDS ONE MULTISTARS,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.88,,,,,
16,0002188812002,,,,1,,,RAINBOW LIGHT,,,,,,GUMMY BEAR ESSENTIALS MULTIVITAMIN,,,,,90.00,,,CNT,,,Mar 13 2016 1,,,,3.55,,,,,
