Positio,,,UPC,,,,Facings,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
Totals:,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 8' 0.00"",    Height: 0' 4.50"",   Depth: 1' 8.00"",   Product: 8' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007852201498,,,,,,1,,,JASON,,,,TOOTHPASTE-STRENGTHENING-COCONT MINT,,,,,4.20,,,OZ,,,,,,,,,1.60,,,,,,
2,0007852201499,,,,,,1,,,JASON,,,,TOOTHPASTE-COCONUT EUCALYPTUS,,,,,4.20,,,OZ,,,,,,,,,1.60,,,,,,
3,0007852201497,,,,,,1,,,JASON,,,,TOOTHPASTE-WHITENING-COCONUT CREAM,,,,,4.20,,,OZ,,,,,,,,,1.60,,,,,,
4,0085913900652,,,,,,1,,,SCHMIDTS,,,,TOOTHPASTE-VANILLA CHAI,,,,,4.70,,,OZ,,,,,,,,,1.90,,,,,,
5,0085913900650,,,,,,1,,,SCHMIDTS,,,,TOOTHPASTE-COCONUT + LIME,,,,,4.70,,,OZ,,,,,,,,,1.90,,,,,,
6,0085913900649,,,,,,1,,,SCHMIDTS,,,,TOOTHPASTE-WONDERMINT,,,,,4.70,,,OZ,,,,,,,,,1.90,,,,,,
7,0085913900669,,,,,,1,,,SCHMIDTS,,,,TOOTHPASTE-JASMINE + SPEARMENT,,,,,4.70,,,OZ,,,,,,,,,1.90,,,,,,
Positio,,,,,UPC,,Facings,,,,,,Brand,,,,Long Description,,,Size,,,,UOM,,,,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0036340400001,,,,1,,,SPRINJENE NATURAL,,,,,,TOOTHPASTE-FLUORIDE FREE,,,,3.40,,OZ,,,,,,,,,,,2.00,,,,,
9,,0036340400000,,,,1,,,SPRINJENE NATURAL,,,,,,TOOTHPASTE-W/ FLUORIDE-CAVITY PROTEC,,,,3.50,,OZ,,,,,,,,,,,2.00,,,,,
10,,0036340400006,,,,1,,,SPRINJENE NATURAL,,,,,,TOOTHPASTE-SENSITIVITY-W/ FLUORIDE,,,,3.50,,OZ,,,,,,,,,,,2.00,,,,,
11,,0036340400007,,,,1,,,SPRINJENE NATURAL,,,,,,TOOTHPASTE-SENSITIVITY-FLUORIDE FREE,,,,3.50,,OZ,,,,,,,,,,,2.00,,,,,
12,,0008517800533,,,,1,,,RADIUS,,,,,,TOOTHPASTE-ORG-GINGER CITRUS,,,,3.00,,OZ,,,,,,Aug  7 2016 1,,,,,2.05,,,,,
13,,0008517800532,,,,1,,,RADIUS,,,,,,TOOTHPASTE-MINT ALOE NEEM,,,,3.00,,OZ,,,,,,,,,,,2.05,,,,,
14,,0008517800535,,,,1,,,RADIUS,,,,,,TOOTHPASTE-ORG-MATCHA MINT,,,,3.00,,OZ,,,,,,,,,,,2.05,,,,,
15,,0008517800536,,,,1,,,RADIUS,,,,,,TOOTHPASTE-ORG-CLOVE CARDAMOM,,,,3.00,,OZ,,,,,,,,,,,2.05,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 8' 0.00"",    Height: 0' 8.50"",   Depth: 1' 8.00"",   Product: 7' 11.65""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007852201500,,,,2,,,JASON,,,,,,TOOTHPASTE-POWERSMILE,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
2,,0007852261847,,,,1,,,JASON,,,,,,POWERSMILE VANILLA MINT TOOTHPASTE,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
3,,0007852201540,,,,1,,,JASON,,,,,,TOOTHPASTE-POWERSMILE-COQ10,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
4,,0007852201510,,,,2,,,JASON,,,,,,TOOTHPASTE-SEA FRESH,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
5,,0007852201525,,,,1,,,JASON,,,,,,TOOTHPASTE-TEA TREE OIL CINNAMON,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
6,,0007834700152,,,,1,,,NATURE'S GATE,,,,,,TOOTHPASTE-CREME DE ANISE,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
7,,0007834700154,,,,1,,,NATURE'S GATE,,,,,,TOOTHPASTE-CREME DE PEPPERMINT,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
8,,0007834700153,,,,1,,,NATURE'S GATE,,,,,,TOOTHPASTE-CREME DE MINT,,,,6.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
9,,0007834700155,,,,1,,,NATURE'S GATE,,,,,,TOOTHPASTE-GEL-COOL MINT,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
10,,0007834703039,,,,1,,,NATURE'S GATE,,,,,,TOOTHPASTE-GEL-WHITENING,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
11,,0007834703108,,,,1,,,NATURE'S GATE,,,,,,TOOTHPASTE-GEL-WINTERGREEN,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.85,,,,,
12,,0066618300030,,,,1,,,THERANEEM,,,,,,TOOTHPASTE-NEEM-HERBAL MINT,,,,4.23,,OZ,,,,,,Feb 21 2016 1,,,,,1.90,,,,,
13,,0066618325983,,,,1,,,THERANEEM,,,,,,TOOTHPASTE-TEA TREE,,,,5.10,,OZ,,,,,,Jul  3 2016 1,,,,,1.90,,,,,
14,,0066618300046,,,,1,,,THERANEEM,,,,,,TOOTHPASTE-NEEM-HERBAL CINNAMON,,,,4.23,,OZ,,,,,,Feb 21 2016 1,,,,,1.90,,,,,
15,,0060506920007,,,,2,,,BOTANIQUE,,,,,,TOOTHPASTE-NEEM POMEGRANATE,,,,5.29,,OZ,,,,,,Feb 21 2016 1,,,,,1.95,,,,,
16,,0060506920024,,,,1,,,BOTANIQUE,,,,,,TOOTHPASTE-SIMPLY MINT,,,,5.29,,OZ,,,,,,Jul 31 2016 1,,,,,1.95,,,,,
17,,0060506920025,,,,1,,,BOTANIQUE,,,,,,TOOTHPASTE-SIMPLY PEPPERMINT,,,,5.29,,OZ,,,,,,Jul  3 2016 1,,,,,1.95,,,,,
18,,0060506920027,,,,1,,,BOTANIQUE,,,,,,TOOTHPASTE-SIMPLY SPEARMINT,,,,5.29,,OZ,,,,,,Jul 31 2016 1,,,,,1.95,,,,,
19,,0060506920026,,,,1,,,BOTANIQUE,,,,,,TOOTHPASTE-SIMPLY CINNAMON,,,,5.29,,OZ,,,,,,Jul  3 2016 1,,,,,1.95,,,,,
20,,0060506920028,,,,1,,,BOTANIQUE,,,,,,TOOTHPASTE-WHITENING-SIMPLY MINT,,,,5.29,,OZ,,,,,,Jul  3 2016 1,,,,,1.95,,,,,
21,,0060506920029,,,,1,,,BOTANIQUE,,,,,,TOOTHPASTE-WHITEN-SIMPLY PEPPERMINT,,,,5.29,,OZ,,,,,,Jul 24 2016 1,,,,,1.95,,,,,
22,,0071833433414,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-TEA TREE OIL-ULTRA CARE,,,,6.25,,OZ,,,,,,Feb 21 2016 1,,,,,1.80,,,,,
23,,0071833433413,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-TEA TREE-WHITENING PLUS,,,,6.25,,OZ,,,,,,Feb 21 2016 1,,,,,1.80,,,,,
24,,0071833422055,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-TEA TREE OIL-MINT,,,,6.25,,OZ,,,,,,Feb 21 2016 1,,,,,1.80,,,,,
