Positio,,,UPC,,,,Facings,,,Brand,,,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,Date,,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0007628010746,,,,1,,,SOLARAY,,,,,,,,GREEN TEA EXTRACT 500 MG,,,,,,30.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
16,,0007628003656,,,,1,,,SOLARAY,,,,,,,,GP GUARANA SEED EXTRACT,,,,,,60.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
17,,0007628003666,,,,1,,,SOLARAY,,,,,,,,HORSE CHESTNUT EXTRACT,,,,,,60.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
18,,0007628084696,,,,1,,,SOLARAY,,,,,,,,MORINGA LEAF EXTRACT 450 MG,,,,,,60.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.95,,,,,
19,,0007628011104,,,,1,,,SOLARAY,,,,,,,,PASSION FLOWER EXTRACT 250 MG,,,,,,60.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.95,,,,,
20,,0007628011107,,,,1,,,SOLARAY,,,,,,,,SUPER RHODIOLA EXTRACT 500 MG,,,,,,60.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.95,,,,,
21,,0007628013747,,,,2,,,SOLARAY,,,,,,,,TURMERIC ONE DAILY,,,,,,30.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.97,,,,,
22,,0007628003800,,,,1,,,SOLARAY,,,,,,,,GP TURMERIC EXTRACT,,,,,,60.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
23,,0007628003802,,,,1,,,SOLARAY,,,,,,,,GP TURMERIC SPECIAL FORMULA,,,,,,60.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,1.98,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0070619500090,,,,1,,,OREGON'S WILD HARVEST,,,,,,,,ASHWAGANDHA-ORGANIC,,,,,,90.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.23,,,,,
2,,0070619500418,,,,1,,,OREGON'S WILD HARVEST,,,,,,,,ASTRAGALUS-ORGANIC,,,,,,90.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.23,,,,,
