"Project Type: Reset 04/02/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,"9/13/2018
HBA Department
26445 Sun Care-Aloe-Bug-04' H-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
2,0002836784349,,,1,,KISS MY FACE,,,,SUNSCREEN-FACE BODY-SPF 30,,,,3.40,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
3,0002836784197,,,2,,KISS MY FACE,,,,KIDS DEFENSE SPRAY SUNSCREEN SPF 50,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
4,0002836783215,,,1,,KISS MY FACE,,,,HOT SPOTS SPF 30,,,,0.50,,,FOZ,,,,May  1 2016 1,,,3.15,,,,
5,0002836783345,,,2,,KISS MY FACE,,,,FACE FACTOR SPF 30,,,,2.00,,,FOZ,,,,May  1 2016 1,,,2.20,,,,
6,0002836783936,,,2,,KISS MY FACE,,,,FACE FACTOR SPF 50,,,,2.00,,,FOZ,,,,May  1 2016 1,,,2.20,,,,
7,0002836782957,,,2,,KISS MY FACE,,,,SUNSCREEN-SENSITIVE SIDE-SPF 30,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
8,0002836783560,,,2,,KISS MY FACE,,,,SUNSPRAY LOTION SPF 30,,,,8.00,,,FOZ,,,,May  1 2016 1,,,2.30,,,,
9,0002836784196,,,2,,KISS MY FACE,,,,BARE NAKED BODY MIST SPF 30,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
10,0002836784193,,,2,,KISS MY FACE,,,,COOL SPORT SPF 50 SPRAY SUNSCREEN,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
11,0002836784436,,,1,,KISS MY FACE,,,,SUNSCREEN-SPRAY-DRY OIL-SPF 15,,,,6.00,,,FOZ,,,,,,,2.10,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,UPC,,Facings,,,Brand,,,,,Long Description,,,Size,,,UOM,,,,Date,,,Width,,
