4,0065801011868,,,,1,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN & GREENS-LIGHTLY SWT-ORG,,,,,23.00,,,,,OZ,,,Feb 21 2016 1,,,,4.82,,,,,
5,0065801011870,,,,1,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN & GREENS-VANILLA-ORG,,,,,19.30,,,,,OZ,,,Feb 21 2016 1,,,,4.82,,,,,
6,0065801011872,,,,1,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN & GREENS-CHOCOLATE-ORG,,,,,21.60,,,,,OZ,,,Feb 21 2016 1,,,,4.82,,,,,
7,0065801011672,,,,1,,,GARDEN OF LIFE,,,,,,,RAW FIT,,,,,14.00,,,,,OZ,,,Feb 21 2016 1,,,,4.88,,,,,
8,0065801011741,,,,1,,,GARDEN OF LIFE,,,,,,,PROTEIN-RAW FIT-VANILLA-ORGANIC,,,,,14.80,,,,,OZ,,,Feb 21 2016 1,,,,5.00,,,,,
9,0065801011742,,,,1,,,GARDEN OF LIFE,,,,,,,PROTEIN-RAW FIT-CHOCOLATE-ORGANIC,,,,,15.80,,,,,OZ,,,Feb 21 2016 1,,,,5.00,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 11,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801011696,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL,,,,,16.00,,,,,OZ,,,Feb 21 2016 1,,,,4.78,,,,,
2,0065801011414,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL,,,,,32.00,,,,,OZ,,,Feb 21 2016 1,,,,5.17,,,,,
3,0065801011693,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL VANILLA,,,,,16.75,,,,,OZ,,,Feb 21 2016 1,,,,4.78,,,,,
4,0065801011602,,,,2,,,GARDEN OF LIFE,,,,,,,RAW MEAL-VANILLA,,,,,34.20,,,,,OZ,,,Feb 21 2016 1,,,,5.17,,,,,
5,0065801011695,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL CHOCOLATE,,,,,17.39,,,,,OZ,,,Feb 21 2016 1,,,,4.78,,,,,
6,0065801011593,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL-CHOCOLATE CACAO,,,,,34.78,,,,,OZ,,,Feb 21 2016 1,,,,5.17,,,,,
7,0065801011694,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL VANILLA SPICED CHAI,,,,,15.00,,,,,OZ,,,Feb 21 2016 1,,,,4.78,,,,,
8,0065801011604,,,,1,,,GARDEN OF LIFE,,,,,,,RAW MEAL VANILLA SPICED CHAI,,,,,32.00,,,,,OZ,,,Feb 21 2016 1,,,,5.17,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 12,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801011943,,,,1,,,GARDEN OF LIFE,,,,,,,PROTEIN-ORG-SPORT-VANILLA,,,,,28.40,,,,,OZ,,,,,,,5.55,,,,,
2,0065801011941,,,,1,,,GARDEN OF LIFE,,,,,,,PROTEIN-ORG-SPORT- CHOCOLATE,,,,,29.60,,,,,OZ,,,,,,,5.55,,,,,
3,0065801012066,,,,1,,,GARDEN OF LIFE,,,,,,,PROTEIN-SPORT-REFUEL-STRAWBRRY,,,,,27.70,,,,,OZ,,,,,,,5.55,,,,,
4,0065801011415,,,,1,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN POWDER-ORG,,,,,19.75,,,,,OZ,,,Feb 21 2016 1,,,,4.81,,,,,
5,0065801011603,,,,2,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN POWDER-ORG VANILLA,,,,,22.00,,,,,OZ,,,Feb 21 2016 1,,,,4.81,,,,,
6,0065801011594,,,,2,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN POWDER-ORG CHOCOLATE,,,,,23.40,,,,,OZ,,,Feb 21 2016 1,,,,4.81,,,,,
7,0065801011606,,,,1,,,GARDEN OF LIFE,,,,,,,RAW PROTEIN PWDR-ORG VAN SPC CHAI,,,,,20.50,,,,,OZ,,,Feb 21 2016 1,,,,4.81,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,Size,,,,,UOM,,,,Date,,,Width,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 13,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.92""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068154,,,,1,,,SPROUTS,,,,,,,PROTEIN-VEGAN-VANILLA-SINGLE,,,,,1.13,,,,,OZ,,,Feb 21 2016 1,,,,4.90,,,,,
