",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 8.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085050200711,,,,1,,,YOUTHEORY,,,,,,MEN'S SHILAJIT,,,,,60.00,,,CAP,,,,,,,,3.02,,,,,
2,0002107801673,,,,1,,,SOURCE NATURALS,,,,,,TONGKAT ALI,,,,,30.00,,,TAB,,,,Jun 12 2016 1,,,,1.83,,,,,
3,0060949271020,,,,1,,,MRM,,,,,,CHRYSIN 500 MG,,,,,30.00,,,VCP,,,,Jun 12 2016 1,,,,1.88,,,,,
4,0060949271011,,,,2,,,MRM,,,,,,TRIBUPLEX 750 MG,,,,,60.00,,,VCP,,,,Jun 12 2016 1,,,,2.30,,,,,
5,0060506940701,,,,1,,,HIMALAYA,,,,,,TRIBULUS-ORAGNIC,,,,,60.00,,,CAP,,,,Jun 12 2016 1,,,,2.23,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0006895803513,,,,1,,,NATURAL FACTORS,,,,,,ANDROSENSE T-CORRECT,,,,,60.00,,,VCP,,,,Jun 12 2016 1,,,,2.40,,,,,
7,0075592931005,,,,1,,,MICHAELS NATRO PRG,,,,,,TESTOSTERONE,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.24,,,,,
8,0085376000224,,,,1,,,LIFESEASONS,,,,,,MASCULINI-T TESTOSTERONE SUPPORT,,,,,90.00,,,VCP,,,,Jun 12 2016 1,,,,2.19,,,,,
9,0071036358104,,,,1,,,IRWIN NATURALS,,,,,,TESTOSTERONE UP,,,,,60.00,,,SG,,,,Jun 12 2016 1,,,,2.58,,,,,
10,0071036358528,,,,1,,,IRWIN NATURALS,,,,,,TESTOSTERONE UP,,,,,120.00,,,SG,,,,Jun 12 2016 1,,,,2.97,,,,,
11,0071036358598,,,,1,,,IRWIN NATURALS,,,,,,TESTOSTERONE UP RED,,,,,60.00,,,SG,,,,,,,,2.58,,,,,
12,0009746704871,,,,1,,,NATURE'S PLUS,,,,,,T MALE,,,,,60.00,,,CAP,,,,Jun 12 2016 1,,,,2.27,,,,,
