Positio,,,UPC,,,,Facings,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,,
35,,0063408449040,,,,1,,BADGER BALM,,,,,FACE SUNSCREEN-DAMASCUS ROSE-SPF 25,,,,,1.60,,,FOZ,,,,,,,,,1.65,,,,,,,
36,,0063408449044,,,,1,,BADGER BALM,,,,,FACE SUNSCREEN-TINT-DAMASCUS ROSE,,,,,1.60,,,FOZ,,,,,,,,,1.65,,,,,,,
37,,0063408427002,,,,1,,BADGER BALM,,,,,ORG DAMASCUS ROSE BEAUTY BALM,,,,,1.00,,,OZ,,,,,5/5/2015,,,,2.13,,,,,,,
38,,0063408430060,,,,1,,BADGER BALM,,,,,ORG DAMASCUS FACE OIL,,,,,1.00,,,FOZ,,,,,5/5/2015,,,,1.44,,,,,,,
39,,0063408427005,,,,1,,BADGER BALM,,,,,FACE OIL-ARGAN-ORG,,,,,1.00,,,FOZ,,,,,5/9/2015,,,,1.44,,,,,,,
40,,0063408427008,,,,1,,BADGER BALM,,,,,FACE OIL-ORG-SEABUCKTHORN,,,,,1.00,,,FOZ,,,,,5/11/2015,,,,1.44,,,,,,,
41,,0060946513362,,,,1,,SEA EL,,,,,AVOCADO & KELP FACIAL CLEANSER,,,,,3.30,,,OZ,,,,,Jun  5 2016 1,,,,2.00,,,,,,,
42,,0079949341865,,,,1,,SEA EL,,,,,MICELLAR-TONER,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,2.00,,,,,,,
43,,0060946513361,,,,1,,SEA EL,,,,,LAMINA DAY CREAM,,,,,2.00,,,OZ,,,,,Jun  5 2016 1,,,,2.00,,,,,,,
44,,0060946513364,,,,1,,SEA EL,,,,,LAMINA NIGHT CREAM,,,,,0.85,,,OZ,,,,,Jun  5 2016 1,,,,1.63,,,,,,,
45,,0079949341864,,,,1,,SEA EL,,,,,NAKED SERUM-ROLL ON,,,,,0.33,,,OZ,,,,,Jun  5 2016 1,,,,1.40,,,,,,,
46,,0060946513363,,,,1,,SEA EL,,,,,EYE CREAM-MIRACLE KELP,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,1.80,,,,,,,
47,,0060946513367,,,,1,,SEA EL,,,,,KELP CLEAR BLEMISH STICK,,,,,0.33,,,OZ,,,,,Jun  5 2016 1,,,,0.90,,,,,,,
48,,0079949341866,,,,1,,SEA EL,,,,,FACE SCRUB-COCONUT KIWI,,,,,4.00,,,OZ,,,,,,,,,2.39,,,,,,,
49,,0079949341867,,,,1,,SEA EL,,,,,SEA KELP MUD MASK,,,,,2.00,,,OZ,,,,,,,,,2.20,,,,,,,
50,,0063687422036,,,,1,,EVERYONE,,,,,FACE FOR EVERY DAY-REMOVE,,,,,30.00,,,CNT,,,,,Jun  5 2016 1,,,,3.35,,,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 8.00"",   Product: 3' 11.84""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0085404900205,,,,1,,ACURE,,,,,GEL-BRILLIANTLY BRIGHTEN CLEANSING,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,1.90,,,,,,,
