14,0003398400520,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM ZINC,,,,,100.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.43,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,,Size,,,,UOM,,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0003398400521,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM ZINC,,,,,250.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.98,,,,,,
16,0005323240036,,,,1,,,LIFETIME,,,,,CALCIUM MAGNESIUM ZINC ZINC,,,,,180.00,,,,SG,,,,Feb 21 2016 1,,,,,2.82,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007628021928,,,,1,,,VEGLIFE,,,,,RED MARINE CALCIUM,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.53,,,,,,
2,0006895835505,,,,1,,,WHOLE EARTH & SEA,,,,,BONE STRUCTURE MULTIVITAMIN,,,,,60.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.37,,,,,,
3,0009746730729,,,,1,,,NATURE'S PLUS,,,,,BONE SUPPORT-120 CNT,,,,,120.00,,,,CAP,,,,,,,,,2.60,,,,,,
4,0008300016461,,,,1,,,NATURE'S ANSWER,,,,,PLANT BASED CALCIUM-MAGNESIUM,,,,,120.00,,,,VCP,,,,,,,,,2.76,,,,,,
5,0002188820211,,,,1,,,RAINBOW LIGHT,,,,,CALCIUM CITRATE MINI TAB,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.50,,,,,,
6,0002188810951,,,,1,,,RAINBOW LIGHT,,,,,FOOD BASED CALCIUM,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.36,,,,,,
7,0002188810952,,,,2,,,RAINBOW LIGHT,,,,,FOOD BASED CALCIUM,,,,,180.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.77,,,,,,
8,0002188810101,,,,2,,,RAINBOW LIGHT,,,,,MAGNESIUM CALCIUM+,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.38,,,,,,
9,0002188812191,,,,1,,,RAINBOW LIGHT,,,,,CALCIUM CITRATE BERRY WELLNESS,,,,,30.00,,,,CNT,,,,,,,,,3.52,,,,,,
10,0002791701934,,,,2,,,NUTRITION NOW,,,,,CALCIUM GUMMY VITAMINS-FRUIT FLAVOR,,,,,60.00,,,,CNT,,,,Feb 21 2016 1,,,,,2.88,,,,,,
11,0003367410255,,,,2,,,NATURE'S WAY,,,,,ALIVE CALCIUM GUMMIES WITH VIT D,,,,,60.00,,,,CNT,,,,Feb 21 2016 1,,,,,3.00,,,,,,
12,0008839549100,,,,1,,,CARLSON LABS,,,,,VITAMIN-GUMMIES-CALCIUM+D3,,,,,60.00,,,,CNT,,,,,,,,,3.20,,,,,,
13,0003398457600,,,,1,,,SOLGAR,,,,,U CUBES-CALCIUM W D3 GUMMIES,,,,,120.00,,,,CNT,,,,Feb 21 2016 1,,,,,3.15,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003367415838,,,,1,,,NATURE'S WAY,,,,,ALIVE CALCIUM-BONE FORMULA,,,,,60.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.25,,,,,,
2,0003367415839,,,,1,,,NATURE'S WAY,,,,,ALIVE CALCIUM-BONE FORMULA,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.67,,,,,,
3,0005149410185,,,,1,,,MEGAFOOD,,,,,CALCIUM-DAILY FOODS,,,,,60.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.50,,,,,,
4,0005149410236,,,,1,,,MEGAFOOD,,,,,CALCIUM,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.40,,,,,,
5,0005149410231,,,,1,,,MEGAFOOD,,,,,CALCIUM  MAGNESIUM & POTASSIUM,,,,,60.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.19,,,,,,
6,0005149410232,,,,1,,,MEGAFOOD,,,,,CALCIUM MAGNESIUM & POTASSIUM,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.40,,,,,,
7,0065801011391,,,,1,,,GARDEN OF LIFE,,,,,VITAMIN CODE RAW CALCIUM,,,,,60.00,,,,VCP,,,,Feb 21 2016 1,,,,,2.55,,,,,,
8,0065801011390,,,,2,,,GARDEN OF LIFE,,,,,RAW CALCIUM,,,,,120.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.75,,,,,,
9,0065801011401,,,,1,,,GARDEN OF LIFE,,,,,GROW BONE SYSTEM,,,,,1.00,,,,KIT,,,,Feb 21 2016 1,,,,,5.50,,,,,,
10,0065801011760,,,,1,,,GARDEN OF LIFE,,,,,KIND ORG-CALCIUM-PLANT-KIND,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.79,,,,,,
11,0065801011761,,,,1,,,GARDEN OF LIFE,,,,,KIND ORG-CALCIUM-PLANT,,,,,180.00,,,,TAB,,,,Feb 21 2016 1,,,,,3.29,,,,,,
12,0060949223010,,,,1,,,MRM,,,,,VEGAN BONE MAXIMIZER,,,,,120.00,,,,VCP,,,,Feb 21 2016 1,,,,,2.73,,,,,,
13,0060949223003,,,,1,,,MRM,,,,,BONE MAXIMIZER III MCHC COMPLEX HP,,,,,150.00,,,,CAP,,,,Feb 21 2016 1,,,,,3.20,,,,,,
14,0060949223005,,,,1,,,MRM,,,,,BONE MAXIMIZER W/ COLLAGEN,,,,,315.00,,,,GM,,,,,,,,,3.71,,,,,,
15,0064092300019,,,,1,,,EIDON IONIC MINERALS,,,,,BONE SUPPORT,,,,,18.00,,,,OZ,,,,Feb 21 2016 1,,,,,3.00,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,,Size,,,,UOM,,,,,Date,,,,Width,,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
---------------
16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 1.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0542501039150,,,,1,,,NATURAL FACTORS,,,,,BONE COLLAGENIZER-ULTRA,,,,,60.00,,,,VCP,,,,,,,,,2.20,,,,,,
2,0072778300407,,,,1,,,NEW CHAPTER,,,,,BONE STRENGTH TAKE CARE,,,,,60.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.20,,,,,,
3,0072778390055,,,,1,,,NEW CHAPTER,,,,,BONE STRENGTH TAKE CARE SLIM TABS,,,,,90.00,,,,TAB,,,,,,,,,2.20,,,,,,
4,0072778300408,,,,1,,,NEW CHAPTER,,,,,BONE STRENGTH TAKE CARE,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.37,,,,,,
5,0072778300421,,,,2,,,NEW CHAPTER,,,,,BONE STRENGTH TAKE CARE,,,,,180.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.71,,,,,,
6,0072778300413,,,,1,,,NEW CHAPTER,,,,,BONE STRENGTH TAKE CARE TINY TABS,,,,,240.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.62,,,,,,
7,0001579405033,,,,1,,,COUNTRY LIFE,,,,,BONE SOLID,,,,,180.00,,,,CAP,,,,Feb 21 2016 1,,,,,3.00,,,,,,
8,0079001104002,,,,1,,,JARROW FORMULAS,,,,,BONE-UP VEGETARIAN,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.55,,,,,,
9,0079001104806,,,,1,,,JARROW FORMULAS,,,,,BONE-UP,,,,,90.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.55,,,,,,
10,0079001104001,,,,1,,,JARROW FORMULAS,,,,,BONE-UP,,,,,120.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.55,,,,,,
11,0079001104003,,,,1,,,JARROW FORMULAS,,,,,BONE-UP,,,,,240.00,,,,CAP,,,,Feb 21 2016 1,,,,,3.17,,,,,,
12,0079001104805,,,,2,,,JARROW FORMULAS,,,,,BONE-UP VALUE SIZE,,,,,360.00,,,,CAP,,,,Feb 21 2016 1,,,,,3.50,,,,,,
13,0079001104004,,,,1,,,JARROW FORMULAS,,,,,ULTRA BONE UP W IPR MSM,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.52,,,,,,
14,0079001104005,,,,1,,,JARROW FORMULAS,,,,,ULTRA BONE-UP,,,,,240.00,,,,TAB,,,,Feb 21 2016 1,,,,,3.15,,,,,,
15,0079001104007,,,,1,,,JARROW FORMULAS,,,,,POWDER DRINK MIX-BONE UP-ORANGE,,,,,14.00,,,,OZ,,,,,,,,,3.70,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 6.00"",   Product: 3' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002124555629,,,,1,,,KAL,,,,,BONE MEAL POWDER UNFLAVORED,,,,,8.00,,,,OZ,,,,Feb 21 2016 1,,,,,2.89,,,,,,
2,0062825003604,,,,1,,,BAIE RUN,,,,,CANINE OMEGA 3 FISH OIL SUPPLEMENT,,,,,6.80,,,,FOZ,,,,,,,,,2.25,,,,,,
3,0076899050504,,,,2,,,NORDIC NATURALS,,,,,OMEGA 3-PET,,,,,8.00,,,,FOZ,,,,,,,,,2.38,,,,,,
4,0070587520001,,,,2,,,BARLEANS,,,,,FLAX OIL-FOR ANIMALS,,,,,12.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.29,,,,,,
5,0007430680160,,,,1,,,VIBRANT HEALTH,,,,,PET-UT HEALTH,,,,,2.02,,,,OZ,,,,,,,,,2.84,,,,,,
6,0007430680158,,,,1,,,VIBRANT HEALTH,,,,,PET-JOINT+HIP,,,,,9.07,,,,OZ,,,,,,,,,3.70,,,,,,
7,0085096400609,,,,1,,,VITAL PLANET,,,,,HIP & JOINT-SOFT CHEWS,,,,,30.00,,,,CHW,,,,,,,,,5.43,,,,,,
8,0085096400606,,,,2,,,VITAL PLANET,,,,,CALM-SOFT CHEWS,,,,,45.00,,,,CHW,,,,,,,,,5.43,,,,,,
9,0085096400615,,,,2,,,VITAL PLANET,,,,,FLORA DOG-DAILY PROBIOTIC-SOFT CHEWS,,,,,30.00,,,,CHW,,,,,,,,,5.43,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
