7,0076899054787,,,,2,,,NORDIC NATURALS,,,,,,ARTIC COD LIVER OIL ORANGE,,,,16.00,,,,,OZ,,,,,,,3.00,,,,,,,
8,0008839501321,,,,2,,,CARLSON LABS,,,,,,LIVER OIL-NORWEGIAN COD-NATURAL,,,,8.40,,,,,FOZ,,,,,,,3.00,,,,,,,
9,0008839501351,,,,2,,,CARLSON LABS,,,,,,LIVER OIL-NORWEGIAN COD-LEMON,,,,8.40,,,,,FOZ,,,,,,,3.00,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 10,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 4.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068212,,,,1,,,SPROUTS,,,,,,KRILL OIL,,,,30.00,,,,,SG,,,,,,,1.80,,,,,,,
2,0064667068213,,,,2,,,SPROUTS,,,,,,KRILL OIL,,,,60.00,,,,,SG,,,,,,,2.24,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0002107802164,,,,1,,,SOURCE NATURALS,,,,,,ARTIC PURE KRILL OIL 500 MG,,,,30.00,,,,,SG,,,,,,,2.00,,,,,,,
4,0002107802165,,,,1,,,SOURCE NATURALS,,,,,,ARTIC PURE KRILL OIL 500 MG,,,,60.00,,,,,SG,,,,,,,2.00,,,,,,,
5,0075395000224,,,,1,,,DOCTORS BEST,,,,,,REAL KRILL-350 MG,,,,60.00,,,,,SG,,,,,,,2.10,,,,,,,
6,0075395000234,,,,2,,,DOCTORS BEST,,,,,,REAL KRILL-ENHANCED WITH DHA & EPA,,,,60.00,,,,,SG,,,,,,,2.35,,,,,,,
7,0003367415432,,,,1,,,NATURE'S WAY,,,,,,KRILL OIL-EFA GOLD-500 MG-60 CT,,,,60.00,,,,,SG,,,,,,,2.40,,,,,,,
8,0063125715411,,,,2,,,RENEW LIFE,,,,,,NORWEGIAN GOLD KRILL OMEGA,,,,30.00,,,,,SG,,,,,,,2.75,,,,,,,
9,0085718800404,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-PEAK OMEGA-LIQUID,,,,4.23,,,,,FOZ,,,,,,,2.15,,,,,,,
10,0085718800414,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-PEAK OMEGA-LIQUID,,,,8.45,,,,,FOZ,,,,,,,2.45,,,,,,,
11,0085718800400,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-ORANGE BURST,,,,8.45,,,,,FOZ,,,,,,,2.45,,,,,,,
12,0079357316797,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-EASY SWALLOW MINI,,,,60.00,,,,,SG,,,,,,,2.35,,,,,,,
13,0085718800412,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-EASY SWALLOW MINIS,,,,180.00,,,,,SG,,,,,,,3.00,,,,,,,
14,0085718800401,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-PEAK EPA,,,,30.00,,,,,SG,,,,,,,2.30,,,,,,,
15,0085718800407,,,,2,,,WILEYS FINEST,,,,,,FISH OIL-PEAK EPA,,,,60.00,,,,,SG,,,,,,,2.90,,,,,,,
16,0085718800415,,,,1,,,WILEYS FINEST,,,,,,FISH OIL-CHOLESTEROL SUPPORT,,,,90.00,,,,,SG,,,,,,,3.00,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 11,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 4.00"",   Product: 3' 11.87""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0073373901652,,,,2,,,NOW,,,,,,OMEGA 3 1000 MG,,,,200.00,,,,,SG,,,,,,,3.05,,,,,,,
2,0070587561007,,,,1,,,BARLEANS,,,,,,FISH OIL-FRESH CATCH ORANGE,,,,100.00,,,,,SG,,,,,,,2.80,,,,,,,
3,0070587561008,,,,2,,,BARLEANS,,,,,,FISH OIL SOFTGELS,,,,250.00,,,,,SG,,,,,,,3.15,,,,,,,
4,0003398401110,,,,1,,,SOLGAR,,,,,,FULL SPECTRUM OMEGA,,,,120.00,,,,,SG,,,,,,,3.15,,,,,,,
5,0006895802265,,,,1,,,NATURAL FACTORS,,,,,,COMPLETE OMEGA SALMON OIL,,,,90.00,,,,,SG,,,,,,,3.25,,,,,,,
6,0006895802256,,,,2,,,NATURAL FACTORS,,,,,,WILD ALASKA SALMON OIL 1000 MG,,,,90.00,,,,,SG,,,,,,,2.75,,,,,,,
7,0006895802257,,,,2,,,NATURAL FACTORS,,,,,,WILD ALASKA SALMON OIL 1000 MG,,,,180.00,,,,,SG,,,,,,,3.40,,,,,,,
8,0074371500952,,,,1,,,BLUEBONNET,,,,,,OMEGA-3 SALMON OIL 1000 MG,,,,90.00,,,,,SG,,,,,,,2.75,,,,,,,
9,0072778305005,,,,1,,,NEW CHAPTER,,,,,,WHOLEMEGA 500 MG,,,,90.00,,,,,SG,,,,,,,2.35,,,,,,,
10,0072778305002,,,,1,,,NEW CHAPTER,,,,,,WHOLEMEGA 1000 MG,,,,60.00,,,,,SG,,,,,,,2.35,,,,,,,
11,0072778305003,,,,1,,,NEW CHAPTER,,,,,,WHOLEMEGA 1000 MG,,,,120.00,,,,,SG,,,,,,,3.05,,,,,,,
12,0072778305000,,,,1,,,NEW CHAPTER,,,,,,WHOLEMEGA 1000 MG,,,,180.00,,,,,SG,,,,,,,3.15,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 12,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 4.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667069045,,,,1,,,SPROUTS,,,,,,OMEGA 3 1000 MG FISH OIL,,,,90.00,,,,,SG,,,,,,,2.50,,,,,,,
2,0064667069046,,,,1,,,SPROUTS,,,,,,OMEGA 3 1000 MG FISH OIL,,,,180.00,,,,,SG,,,,,,,3.15,,,,,,,
3,0064667068130,,,,1,,,SPROUTS,,,,,,OMEGA 3 ONCE DAILY,,,,90.00,,,,,SG,,,,,,,2.70,,,,,,,
4,0064667068116,,,,1,,,SPROUTS,,,,,,CONCENTRATED OMEGA-3,,,,60.00,,,,,SG,,,,,,,2.50,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0064667068117,,,,1,,,SPROUTS,,,,,,CONCENTRATED OMEGA-3,,,,120.00,,,,,SG,,,,,,,3.00,,,,,,,
6,0004746904409,,,,2,,,NATROL,,,,,,FISH OIL-OMEGA 3-1200MG,,,,60.00,,,,,SG,,,,,,,2.50,,,,,,,
7,0071036357615,,,,1,,,IRWIN NATURALS,,,,,,DOUBLE POTENCY FISH OIL PURE,,,,60.00,,,,,SG,,,,,,,2.60,,,,,,,
8,0001579404496,,,,1,,,COUNTRY LIFE,,,,,,O3 FISH BODY OILS 100,,,,50.00,,,,,CNT,,,,,,,2.15,,,,,,,
9,0001579404497,,,,1,,,COUNTRY LIFE,,,,,,OMEGA-3 FISH OIL 1000 MG,,,,100.00,,,,,SG,,,,,,,2.60,,,,,,,
10,0001579404498,,,,1,,,COUNTRY LIFE,,,,,,OMEGA-3 FISH OIL 1000 MG,,,,200.00,,,,,SG,,,,,,,3.20,,,,,,,
