"Project Type: Reset 10/22/2018 Buyer: Kate Gibson x317 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,"10/12/2018
Vitamin Department
33411 Shadow Box-Protein Packets-L-Released
",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0071812276619,,,,1,,,SUNWARRIOR,,,,PROTEIN-VEGAN-VNLLA-WARRIOR RAW,,,25.00,,,GM,,,,Jun 19 2016 1,,,,3.90,,,,
2,,0071812263969,,,,1,,,SUNWARRIOR,,,,PROTEIN-VEGAN-VNLLA-WARRIOR BLEND-CS,,,300.00,,,GM,,,,Mar  6 2016 1,,,,4.15,,,,
3,,0062477700784,,,,1,,,GENUINE HEALTH,,,,PROTEIN-FERMENTED-PROTN-VANILLA-SNGL,,,0.78,,,OZ,,,,,,,,3.95,,,,
4,,0062477700783,,,,1,,,GENUINE HEALTH,,,,PROTEIN-FERMENTED-VEGAN-VANILLA-CASE,,,11.70,,,OZ,,,,,,,,4.32,,,,
5,,0062477700818,,,,1,,,GENUINE HEALTH,,,,PROTEIN-FERMENTED-VEGAN-CHOCO-SNGL,,,0.83,,,OZ,,,,,,,,3.95,,,,
6,,0062477700817,,,,1,,,GENUINE HEALTH,,,,PROTEIN-FERMENTED-VEGAN-CHOCO-CASE,,,12.40,,,OZ,,,,,,,,4.32,,,,
7,,0083876600875,,,,1,,,VEGA,,,,VEGA SPORT PROTEIN-PACKET-VANILLA,,,1.50,,,OZ,,,,May 15 2016 1,,,,4.20,,,,
8,,0083876600865,,,,1,,,VEGA,,,,VEGA SPORT PROTEIN-BOX-VANILLA,,,17.40,,,OZ,,,,May 22 2016 1,,,,4.65,,,,
9,,0083876600876,,,,1,,,VEGA,,,,VEGA SPORT PROTEIN-PACKET-CHOCOLATE,,,1.60,,,OZ,,,,May 15 2016 1,,,,4.20,,,,
10,,0083876600866,,,,1,,,VEGA,,,,VEGA SPORT PROTEIN-BOX-CHOCOLATE,,,18.70,,,OZ,,,,May 15 2016 1,,,,4.65,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,Size,,,,UOM,,,Date,,,,Width,,
"-----------
Totals:",,,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
10",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 1' 9.00"",    Height: 0' 6.00"",   Depth: 1' 0.00"",   Product: 1' 8.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0065801012210,,,,1,,,,GARDEN OF LIFE,,,BAR-ORG-FIT PROTEIN-CHOCO CHERRY,,,1.90,,,,OZ,,,,,,5.87,,,,,
2,,0065801011926,,,,1,,,,GARDEN OF LIFE,,,BAR-ORG-FIT PROTEIN-SEA SALT CARAML,,,1.90,,,,OZ,,,,,,5.86,,,,,
3,,0083876608066,,,,1,,,,VEGA,,,PROTEIN BAR-CHOCOLATE PEANUT BUTTER,,,2.50,,,,OZ,,,,,,5.95,,,,,
4,,0083876608090,,,,1,,,,VEGA,,,PROTEIN BAR-CHOCO PEANUT BUTTER,,,1.60,,,,OZ,,,,,,6.18,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
